player	bowl	selection	confidence
JFranks	Fenway	Louisville	18
JFranks	Fiesta (Semis)	Michigan	41
JFranks	First Responder	Memphis	38
JFranks	Frisco	Boise State	36
JFranks	Gasparilla	Missouri	4
JFranks	Gator	Notre Dame	30
JFranks	Guaranteed Rate	Wisconsin	25
JFranks	Hawai'i	San Diego State	22
JFranks	Holiday	Oregon	27
JFranks	Independence	Houston	14
JFranks	Jimmy Kimmel L.A.	Washington State	19
JFranks	Las Vegas	Florida	11
JFranks	LendingTree	Southern Miss	20
JFranks	Liberty	Arkansas	15
JFranks	Military	Duke	26
JFranks	Music City	Iowa	9
JFranks	Myrtle Beach	Marshall	37
JFranks	Championship	Georgia	42
JFranks	New Mexico	SMU	12
JFranks	New Orleans	Western Kentucky	3
JFranks	Orange	Clemson	32
JFranks	Peach (Semis)	Georgia	40
JFranks	Pinstripe	Minnesota	28
JFranks	Potato	Eastern Michigan	2
JFranks	Quick Lane	Bowling Green	1
JFranks	ReliaQuest	Mississippi State	17
JFranks	Rose	Utah	34
JFranks	Sugar	Alabama	39
JFranks	Sun 	Pittsburgh	7
JFranks	Texas	Texas Tech	5
JHajdin	Alamo	Texas	24
JHajdin	Arizona	Ohio	11
JHajdin	Armed Forces	Baylor	18
JHajdin	Bahamas	UAB	32
JHajdin	Birmingham	Coastal Carolina	14
JHajdin	Boca Raton	Toledo	28
JHajdin	Camellia	Buffalo	19
JHajdin	Cheez-It	Florida State	12
JHajdin	Citrus	LSU	38
JHajdin	Cotton	USC	5
JHajdin	Cure	Troy	1
JHajdin	Duke's Mayo	NC State	25
JHajdin	Fenway	Louisville	16
JHajdin	Fiesta (Semis)	Michigan	41
JHajdin	First Responder	Memphis	27
JHajdin	Frisco	Boise State	30
JHajdin	Gasparilla	Wake Forest	3
JHajdin	Gator	Notre Dame	23
JHajdin	Guaranteed Rate	Wisconsin	35
JHajdin	Hawai'i	San Diego State	34
JHajdin	Holiday	Oregon	26
JHajdin	Independence	Houston	29
JHajdin	Jimmy Kimmel L.A.	Washington State	31
JHajdin	Las Vegas	Florida	9
JHajdin	LendingTree	Southern Miss	2
JHajdin	Liberty	Arkansas	20
JHajdin	Military	UCF	13
JHajdin	Music City	Kentucky	37
JHajdin	Myrtle Beach	Marshall	33
JHajdin	Championship	Ohio State	42
JHajdin	New Mexico	BYU	17
JHajdin	New Orleans	Western Kentucky	15
JHajdin	Orange	Tennessee	4
JHajdin	Peach (Semis)	Ohio State	40
JHajdin	Pinstripe	Minnesota	36
JHajdin	Potato	Eastern Michigan	10
JHajdin	Quick Lane	Bowling Green	8
JHajdin	ReliaQuest	Mississippi State	21
JHajdin	Rose	Utah	22
JHajdin	Sugar	Alabama	39
JHajdin	Sun 	Pittsburgh	6
JHajdin	Texas	Texas Tech	7
Joey	Alamo	Washington	24
Joey	Arizona	Wyoming	9
Joey	Armed Forces	Baylor	35
Joey	Bahamas	Miami (OH)	36
Joey	Birmingham	East Carolina	25
Joey	Boca Raton	Toledo	7
Joey	Camellia	Buffalo	3
Joey	Cheez-It	Oklahoma	5
Joey	Citrus	LSU	34
Joey	Cotton	USC	33
Joey	Cure	Troy	2
Joey	Duke's Mayo	NC State	14
Joey	Fenway	Cincinnati	16
Joey	Fiesta (Semis)	Michigan	40
Joey	First Responder	Memphis	31
Joey	Frisco	Boise State	30
Joey	Gasparilla	Missouri	10
Joey	Gator	Notre Dame	26
Joey	Guaranteed Rate	Oklahoma State	12
Joey	Hawai'i	San Diego State	13
Joey	Holiday	Oregon	38
Joey	Independence	Houston	28
Joey	Jimmy Kimmel L.A.	Fresno State	23
Joey	Las Vegas	Oregon State	22
Joey	LendingTree	Southern Miss	27
Joey	Liberty	Arkansas	32
Joey	Military	Duke	19
Joey	Music City	Iowa	6
Joey	Myrtle Beach	Marshall	37
Joey	Championship	Michigan	42
Joey	New Mexico	BYU	8
Joey	New Orleans	Western Kentucky	1
Joey	Orange	Clemson	15
Joey	Peach (Semis)	Georgia	41
Joey	Pinstripe	Minnesota	29
Joey	Potato	San José State	21
Joey	Quick Lane	Bowling Green	4
Joey	ReliaQuest	Mississippi State	17
Joey	Rose	Utah	20
Joey	Sugar	Alabama	39
Joey	Sun 	Pittsburgh	11
Joey	Texas	Ole Miss	18
JPearce	Alamo	Washington	5
JPearce	Arizona	Wyoming	9
JPearce	Armed Forces	Air Force	25
JPearce	Bahamas	UAB	1
JPearce	Birmingham	East Carolina	32
JPearce	Boca Raton	Toledo	8
JPearce	Camellia	Georgia Southern	24
JPearce	Cheez-It	Florida State	39
JPearce	Citrus	LSU	33
JPearce	Cotton	USC	16
JPearce	Cure	UTSA	14
JPearce	Duke's Mayo	NC State	11
JPearce	Fenway	Louisville	13
JPearce	Fiesta (Semis)	Michigan	40
JPearce	First Responder	Utah State	2
JPearce	Frisco	Boise State	35
JPearce	Gasparilla	Missouri	4
JPearce	Gator	Notre Dame	20
JPearce	Guaranteed Rate	Oklahoma State	6
JPearce	Hawai'i	San Diego State	18
JPearce	Holiday	Oregon	38
JPearce	Independence	Houston	21
JPearce	Jimmy Kimmel L.A.	Washington State	17
JPearce	Las Vegas	Oregon State	37
JPearce	LendingTree	Southern Miss	28
