name	ID	GAME	LOCATION	MATCHUP	Confidence_Score	team1	team2	team3	team4	pick	game_time	winner	correct
Jeremy	2	Boca Raton	Boca Raton, Fla.	Marshall (12-1) vs. Northern Illinois (11-2)	29	Marshall	Northern Illinois			Marshall	12/23/2014  6:00 PM	Marshall	1
Jeremy	2	Miami Beach	Miami, Fla.	Memphis (9-3) vs. BYU (8-4)	7	Memphis	BYU			BYU	12/22/2014  2:00 PM	Memphis	0
Jeremy	2	Camellia	Montgomery, Ala.	Bowling Green (7-6) vs. South Alabama (6-6)	22	Bowling Green	South Alabama			South Alabama	12/20/2014  9:15 PM	Bowling Green	0
Jeremy	2	Idaho Potato	Boise, Idaho	Air Force (9-3) vs. Western Michigan (8-4)	6	Air Force	Western Michigan			Air Force	12/20/2014  5:45 PM	Air Force	1
Jeremy	2	Royal Purple	Las Vegas, Nev.	Colorado State (10-2) vs. Utah (8-4)	30	Colorado State	Utah			Utah	12/20/2014  3:30 PM	Utah	1
Jeremy	2	New Mexico	Albuquerque, N.M.	Utah State (9-4) vs. UTEP (7-5)	31	Utah State	UTEP			Utah State	12/20/2014  2:20 PM	Utah State	1
Jeremy	2	New Orleans	New Orleans, La.	UL Lafayette (8-4) vs. Nevada (7-5)	21	UL Lafayette	Nevada			UL Lafayette	12/20/2014 11:00 AM	UL Lafayette	1
Bostwick	3	Championship	Arlington, Texas	Semifinal winners	1	Alabama	Oregon	Florida State	Ohio State	Oregon	1/12/2015  8:30 PM		
Bostwick	3	Rose	Pasadena, Calif.	No. 2 Oregon (12-1) vs. No. 3 Florida State (13-0)	31	Oregon	Florida State			Oregon	1/1/2015  5:00 PM		
Bostwick	3	Sugar	New Orleans, La.	No. 1 Alabama (12-1) vs. No. 4 Ohio State (12-1)	37	Alabama	Ohio State			Alabama	1/1/2015  8:30 PM		
Bostwick	3	Cotton	Arlington, Texas	Baylor (11-1) vs. Michigan State (10-2)	10	Baylor	Michigan State			Baylor	1/1/2015 12:30 PM		
Bostwick	3	Orange	Miami, Fla.	Georgia Tech (10-3) vs. Mississippi State (10-2)	30	Georgia Tech	Mississippi State			Mississippi State	12/31/2014  8:00 PM		
Bostwick	3	Fiesta	Glendale, Ariz.	Arizona (10-3) vs. Boise State (11-2)	28	Arizona	Boise State			Arizona	12/31/2014  4:00 PM		
Bostwick	3	Peach	Atlanta, Ga.	TCU (11-1) vs. Ole Miss (9-3)	11	TCU	Ole Miss			TCU	12/31/2014 12:30 PM		
Bostwick	3	GoDaddy	Mobile, Ala.	Toledo (8-4) vs. Arkansas State (7-5)	22	Toledo	Arkansas State			Toledo	1/4/2015  9:00 PM		
Bostwick	3	Birmingham	Birmingham, Ala.	Florida (6-5) vs. East Carolina (8-4)	27	Florida	East Carolina			Florida	1/3/2015 12:00 PM		
Bostwick	3	Cactus	Tempe, Ariz.	Oklahoma State (6-6) vs. Washington (8-5)	21	Oklahoma State	Washington			Washington	1/2/2015 10:15 PM		
Bostwick	3	Alamo	San Antonio, Texas	Kansas State (9-3) vs. UCLA (9-3)	15	Kansas State	UCLA			Kansas State	1/2/2015  6:45 PM		
